RunNumber,PedestalRunNumber,TelescopeRunNumber,BeamEnergy,GearGeoFile
613,000602,001057,4.4,gear-XYZRotations-XYZShift-FULL-NO-DUT-Iteration-1-000613.xml
602,000602,,,gear-XYZRotations-XYZShift-FULL-NO-DUT-Iteration-1-000613.xml
1057,000602,,,gear-XYZRotations-XYZShift-FULL-NO-DUT-Iteration-1-000613.xml
4197,004198,001970,4.4,gear-noDUTs-aligned-613.xml
4198,004198,,,gear-noDUTs-aligned-613.xml
1970,004198,,,gear-noDUTs-aligned-613.xml
4091,004088,001891,,gear-noDUTs-aligned-613.xml
4088,004088,,,gear-noDUTs-aligned-613.xml
1891,004088,,,gear-noDUTs-aligned-613.xml
4104,004105,001904,,gear-noDUTs-aligned-rot-20-613.xml
4105,004105,,,gear-noDUTs-aligned-rot-20-613.xml
1904,004105,,,gear-noDUTs-aligned-rot-20-613.xml





