RunNumber,BeamEnergy,ActualBeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile,AlignmentRunNumber,ResidualXMin,ResidualXMax,ResidualYMin,ResidualYMax
5261,2,2.44,0,100000,7,gear_initial.xml,005277,,,,
5262,3,3.6,0,100000,7,gear_initial.xml,005277,,,,
5263,5,5.4,0,3000,7,gear_initial.xml,005277,,,,
5264,4,4.76,0,100000,7,gear_initial.xml,005277,,,,
5265,2,2.44,1,100000,7,gear_initial.xml,005277,,,,
5266,1,1.29,1,100000,7,gear_initial.xml,005277,,,,
5267,4,4.76,1,100000,7,gear_initial.xml,005277,,,,
5268,1,1.29,2,100000,7,gear_initial.xml,005277,,,,
5269,2,2.44,2,100000,7,gear_initial.xml,005277,,,,
5270,4,4.76,2,100000,7,gear_initial.xml,005277,,,,
5271,1,1.29,4,100000,7,gear_initial.xml,005277,,,,
5272,2,2.44,4,100000,7,gear_initial.xml,005277,,,,
5273,4,4.76,4,100000,7,gear_initial.xml,005277,,,,
5274,1,1.29,8,100000,7,gear_initial.xml,005277,,,,
5275,2,2.44,8,100000,7,gear_initial.xml,005277,,,,
5276,4,4.76,8,100000,7,gear_initial.xml,005277,,,,
5277,1,1.29,0,100000,7,gear_initial.xml,005277,,,,
5562,1,1.29,0,100000,7,gear_equally_spaced.xml,005566,,,,
5563,2,2.44,0,100000,7,gear_equally_spaced.xml,005566,,,,
5564,3,3.6,0,100000,7,gear_equally_spaced.xml,005566,,,,
5565,4,4.76,0,100000,7,gear_equally_spaced.xml,005566,,,,
5566,5,5.4,0,100000,7,gear_equally_spaced.xml,005566,-600 -600 -1000 -2000 -2000 -2000,600 600 1000 2000 2000 2000,-400 -400 -1000 -1700 -2000 -2500,400 400 1000 1700 2000 2500
5567,1,1.29,1,100000,7,gear_equally_spaced.xml,005566,,,,
5568,2,2.44,1,100000,7,gear_equally_spaced.xml,005566,,,,
5569,3,3.6,1,100000,7,gear_equally_spaced.xml,005566,,,,
5570,4,4.76,1,100000,7,gear_equally_spaced.xml,005566,,,,
5571,5,5.4,1,100000,7,gear_equally_spaced.xml,005566,,,,
5573,1,1.29,2,100000,7,gear_equally_spaced.xml,005566,,,,
5574,2,2.44,2,100000,7,gear_equally_spaced.xml,005566,,,,
5575,3,3.6,2,100000,7,gear_equally_spaced.xml,005566,,,,
5576,4,4.76,2,100000,7,gear_equally_spaced.xml,005566,,,,
5577,5,5.4,2,100000,7,gear_equally_spaced.xml,005566,,,,
5578,1,1.29,4,100000,7,gear_equally_spaced.xml,005566,,,,
