,RunNumber,EnergyMagnetCurrent,TheoreticalBeamEnergy,NumberofEvents,ActualBeamEnergy,ConfigFile,Threshold,MaterialType,MaterialThickness,MaterialThicknessError,RawFileSize,Collimator,GearFile,DUTPosition,Date
,5261,75,2,106685,2.43,config_coinc_19122012,7,None,0,0,71,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5262,112,3,102450,3.63,config_coinc_19122012,7,None,0,0,67,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5263,187,5,3026,5.9,config_coinc_19122012,7,None,0,0,1.5,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5264,150,4,100176,4.76,config_coinc_19122012,7,None,0,0,52,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5265,75,2,103029,2.43,config_coinc_19122012,7,Aluminium,1.001,0.0053,72,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5266,37,1,102517,1.29,config_coinc_19122012,7,Aluminium,1.001,0.0053,63,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5267,150,4,100751,4.76,config_coinc_19122012,7,Aluminium,1.001,0.0053,57,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5268,37,1,102210,1.29,config_coinc_19122012,7,Aluminium,2.001,0.0053,63,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5269,75,2,102831,2.43,config_coinc_19122012,7,Aluminium,2.001,0.0053,77,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5270,150,4,100256,4.76,config_coinc_19122012,7,Aluminium,2.001,0.0053,56,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5271,37,1,101697,1.29,config_coinc_19122012,7,Aluminium,4.005,0.0074,63,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5272,75,2,106699,2.43,config_coinc_19122012,7,Aluminium,4.005,0.0074,77,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5273,150,4,101091,4.76,config_coinc_19122012,7,Aluminium,4.005,0.0074,58,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5274,37,1,101912,1.29,config_coinc_19122012,7,Aluminium,7.992,0.0127,62,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5275,75,2,102527,2.43,config_coinc_19122012,7,Aluminium,7.992,0.0127,77,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5276,150,4,101408,4.76,config_coinc_19122012,7,Aluminium,7.992,0.0127,57,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5277,37,1,101518,1.29,config_coinc_19122012,7,None,0,0,61,Unknown,gear_x0_19122012.xml,41,19/12/2012
,5562,37,1,104222,1.29,config_coinc_22012013a,7,Aluminium,0,0,71,Unknown,gear_x0_22012013,160,22/01/2013
,5563,75,2,104904,2.43,config_coinc_22012013a,7,Aluminium,0,0,83,Unknown,gear_x0_22012013,160,22/01/2013
,5564,112,3,100947,3.63,config_coinc_22012013a,7,Aluminium,0,0,73,Unknown,gear_x0_22012013,160,22/01/2013
,5565,150,4,101088,4.76,config_coinc_22012013a,7,Aluminium,0,0,58,Unknown,gear_x0_22012013,160,22/01/2013
,5566,187,5,101828,5.9,config_coinc_22012013a,7,Aluminium,0,0,47,Unknown,gear_x0_22012013,160,22/01/2013
,5567,37,1,137530,1.29,config_coinc_22012013a,7,Aluminium,1.001,0.0053,92,Unknown,gear_x0_22012013,160,22/01/2013
,5568,75,2,115746,2.43,config_coinc_22012013a,7,Aluminium,1.001,0.0053,88,Unknown,gear_x0_22012013,160,22/01/2013
,5569,112,3,100134,3.63,config_coinc_22012013a,7,Aluminium,1.001,0.0053,73,Unknown,gear_x0_22012013,160,22/01/2013
,5570,150,4,103620,4.76,config_coinc_22012013a,7,Aluminium,1.001,0.0053,61,Unknown,gear_x0_22012013,160,22/01/2013
,5571,187,5,1005991,5.9,config_coinc_22012013a,7,Aluminium,1.001,0.0053,463,Unknown,gear_x0_22012013,160,22/01/2013
,5573,37,1,106351,1.29,config_coinc_22012013a,7,Aluminium,1.992,0.0056,68,Unknown,gear_x0_22012013,160,22/01/2013
,5574,75,2,103794,2.43,config_coinc_22012013a,7,Aluminium,1.992,0.0056,93,Unknown,gear_x0_22012013,160,22/01/2013
,5575,112,3,100950,3.63,config_coinc_22012013a,7,Aluminium,1.992,0.0056,86,Unknown,gear_x0_22012013,160,22/01/2013
,5576,150,4,108357,4.76,config_coinc_22012013a,7,Aluminium,1.992,0.0056,72,Unknown,gear_x0_22012013,160,22/01/2013
,5577,187,5,105118,5.9,config_coinc_22012013a,7,Aluminium,1.992,0.0056,49,Unknown,gear_x0_22012013,160,22/01/2013
,5578,37,1,104782,1.29,config_coinc_22012013a,7,Aluminium,3.999,0.0089,73,Unknown,gear_x0_22012013,160,22/01/2013
,5579,75,2,101421,2.43,config_coinc_22012013a,7,Aluminium,3.999,0.0089,78,Unknown,gear_x0_22012013,160,22/01/2013
,5580,112,3,101681,3.63,config_coinc_22012013a,7,Aluminium,3.999,0.0089,82,Unknown,gear_x0_22012013,160,22/01/2013
,5581,150,4,100753,4.76,config_coinc_22012013a,7,Aluminium,3.999,0.0089,61,Unknown,gear_x0_22012013,160,22/01/2013
,5582,187,5,207582,5.9,config_coinc_22012013a,7,Aluminium,3.999,0.0089,96,Unknown,gear_x0_22012013,160,22/01/2013
,5584,37,1,104037,1.29,config_coinc_22012013a,7,Aluminium,7.992,0.0127,74,Unknown,gear_x0_22012013,160,22/01/2013
,5585,75,2,102016,2.43,config_coinc_22012013a,7,Aluminium,7.992,0.0127,84,Unknown,gear_x0_22012013,160,22/01/2013
,5586,112,3,137033,3.63,config_coinc_22012013a,7,Aluminium,7.992,0.0127,105,Unknown,gear_x0_22012013,160,22/01/2013
,5587,112,3,100497,3.63,config_coinc_22012013a,7,Aluminium,7.992,0.0127,76,Unknown,gear_x0_22012013,160,22/01/2013
,5588,150,4,100770,4.76,config_coinc_22012013a,7,Aluminium,7.992,0.0127,60,Unknown,gear_x0_22012013,160,22/01/2013
,5589,187,5,20148,5.9,config_coinc_22012013a,7,Aluminium,7.992,0.0127,9.3,Unknown,gear_x0_22012013,160,22/01/2013
,5590,187,5,100041,5.9,config_coinc_22012013a,7,Aluminium,7.992,0.0127,47,Unknown,gear_x0_22012013,160,22/01/2013
,5593,37,1,102029,1.29,config_coinc_22012013a,7,Aluminium,0,0,71,Unknown,gear_x0_25012013,46.8,25/01/2013
,5594,75,2,102644,2.43,config_coinc_22012013a,7,Aluminium,0,0,84,Unknown,gear_x0_25012013,46.8,25/01/2013
,5595,112,3,119476,3.63,config_coinc_22012013a,7,Aluminium,0,0,89,Unknown,gear_x0_25012013,46.8,25/01/2013
,5596,150,4,100628,4.76,config_coinc_22012013a,7,Aluminium,0,0,60,Unknown,gear_x0_25012013,46.8,25/01/2013
,5597,187,5,104810,5.9,config_coinc_22012013a,7,Aluminium,0,0,49,Unknown,gear_x0_25012013,46.8,25/01/2013
,5598,37,1,107204,1.29,config_coinc_22012013a,7,Aluminium,0.996,0.0094,52,Unknown,gear_x0_25012013,46.8,25/01/2013
,5599,75,2,137029,2.43,config_coinc_22012013a,7,Aluminium,0.996,0.0094,86,Unknown,gear_x0_25012013,46.8,25/01/2013
,5600,112,3,14645,3.63,config_coinc_22012013a,7,Aluminium,0.996,0.0094,77,Unknown,gear_x0_25012013,46.8,25/01/2013
,5602,150,4,101440,4.76,config_coinc_22012013a,7,Aluminium,0.996,0.0094,60,Unknown,gear_x0_25012013,46.8,25/01/2013
,5603,187,5,119664,5.9,config_coinc_22012013a,7,Aluminium,0.996,0.0094,56,Unknown,gear_x0_25012013,46.8,25/01/2013
,5604,37,1,101373,1.29,config_coinc_22012013a,7,Aluminium,1.992,0.0056,70,Unknown,gear_x0_25012013,46.8,25/01/2013
,5605,75,2,101934,2.43,config_coinc_22012013a,7,Aluminium,1.992,0.0056,83,Unknown,gear_x0_25012013,46.8,25/01/2013
,5606,112,3,105698,3.63,config_coinc_22012013a,7,Aluminium,1.992,0.0056,80,Unknown,gear_x0_25012013,46.8,25/01/2013
,5607,150,4,115699,4.76,config_coinc_22012013a,7,Aluminium,1.992,0.0056,92,Unknown,gear_x0_25012013,46.8,25/01/2013
,5608,187,5,100047,5.9,config_coinc_22012013a,7,Aluminium,1.992,0.0056,47,Unknown,gear_x0_25012013,46.8,25/01/2013
,5609,37,1,141932,1.29,config_coinc_22012013a,7,Aluminium,3.999,0.0089,98,Unknown,gear_x0_25012013,46.8,25/01/2013
,5611,75,2,101284,2.43,config_coinc_22012013a,7,Aluminium,3.999,0.0089,84,Unknown,gear_x0_25012013,46.8,25/01/2013
,5612,112,3,101512,3.63,config_coinc_22012013a,7,Aluminium,3.999,0.0089,78,Unknown,gear_x0_25012013,46.8,25/01/2013
,5613,150,4,100461,4.76,config_coinc_22012013a,7,Aluminium,3.999,0.0089,61,Unknown,gear_x0_25012013,46.8,25/01/2013
,5614,187,5,44727,5.9,config_coinc_22012013a,7,Aluminium,3.999,0.0089,21,Unknown,gear_x0_25012013,46.8,25/01/2013
,5619,187,5,70713,5.9,config_coinc_22012013a,7,Aluminium,3.999,0.0089,33,Unknown,gear_x0_25012013,46.8,25/01/2013
,5620,37,1,101857,1.29,config_coinc_22012013b,7,Aluminium,7.992,0.0127,93,Unknown,gear_x0_25012013,46.8,25/01/2013
,5621,75,2,101558,2.43,config_coinc_22012013b,7,Aluminium,7.992,0.0127,123,Unknown,gear_x0_25012013,46.8,25/01/2013
,5622,112,3,101338,3.63,config_coinc_22012013b,7,Aluminium,7.992,0.0127,106,Unknown,gear_x0_25012013,46.8,25/01/2013
,5623,150,4,102062,4.76,config_coinc_22012013b,7,Aluminium,7.992,0.0127,77,Unknown,gear_x0_25012013,46.8,25/01/2013
,5624,187,5,105272,5.9,config_coinc_22012013b,7,Aluminium,7.992,0.0127,49,Unknown,gear_x0_25012013,46.8,25/01/2013
,8872,187,5,105006,5.9,config_coinc_08042013,6,None,0,N/A,52,Unknown,gear_x0_08042013,5.1,8/4/2013
,8876,37,1,1002420,1.29,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,981,Unknown,gear_x0_08042013,5.1,8/4/2013
,8877,75,2,1257291,2.43,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1600,Unknown,gear_x0_08042013,5.1,8/4/2013
,8878,112,3,1209297,3.63,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1400,Unknown,gear_x0_08042013,5.1,8/4/2013
,8879,150,4,1051839,4.76,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,921,Unknown,gear_x0_08042013,5.1,8/4/2013
,8880,37,1,N/A,1.29,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8883,187,5,N/A,5.9,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8884,,1.2,1091008,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1300,Unknown,gear_x0_08042013,5.1,8/4/2013
,8885,,1.4,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8886,,1.6,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8887,,1.8,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1300,Unknown,gear_x0_08042013,5.1,8/4/2013
,8888,,2.2,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1600,Unknown,gear_x0_08042013,5.1,8/4/2013
,8889,,2.4,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,188,Unknown,gear_x0_08042013,5.1,8/4/2013
,8890,,2.6,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1500,Unknown,gear_x0_08042013,5.1,8/4/2013
,8891,,2.8,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1700,Unknown,gear_x0_08042013,5.1,8/4/2013
,8892,,3.2,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1200,Unknown,gear_x0_08042013,5.1,8/4/2013
,8893,,3.4,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1100,Unknown,gear_x0_08042013,5.1,8/4/2013
,8894,,3.6,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,982,Unknown,gear_x0_08042013,5.1,8/4/2013
,8895,,3.8,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1200,Unknown,gear_x0_08042013,5.1,8/4/2013
,8896,,4.2,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,847,Unknown,gear_x0_08042013,5.1,8/4/2013
,8897,,4.4,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,1300,Unknown,gear_x0_08042013,5.1,8/4/2013
,8898,,4.6,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,615,Unknown,gear_x0_08042013,5.1,8/4/2013
,8899,,4.8,,,config_coinc_08042013,6,Aluminium with 9 holes,N/A,N/A,548,Unknown,gear_x0_08042013,5.1,8/4/2013
,8900,75,2,,,config_coinc_08042013,6,My Watch,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8901,75,2,,,config_coinc_08042013,6,My Watch,N/A,N/A,2000,Unknown,gear_x0_08042013,5.1,8/4/2013
,8902,187,5,,,config_coinc_08042013,6,Wafer 904 6DA00 021 POLY R 882-11 30T Top LEFT,N/A,N/A,50,Unknown,gear_x0_08042013,5.1,8/4/2013
