RunNumber,BeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile
5261,2,0,100000,7,gear_initial.xml
5262,3,0,100000,7,gear_initial.xml
5263,5,0,3000,7,gear_initial.xml
5264,4,0,100000,7,gear_initial.xml
5265,2,1,100000,7,gear_initial.xml
5266,1,1,100000,7,gear_initial.xml
5267,4,1,100000,7,gear_initial.xml
5268,1,2,100000,7,gear_initial.xml
5269,2,2,100000,7,gear_initial.xml
5270,4,2,100000,7,gear_initial.xml
5271,1,4,100000,7,gear_initial.xml
5272,2,4,100000,7,gear_initial.xml
5273,4,4,100000,7,gear_initial.xml
5274,1,8,100000,7,gear_initial.xml
5275,2,8,100000,7,gear_initial.xml
5276,4,8,100000,7,gear_initial.xml
5277,1,0,100000,7,gear_initial.xml
5562,1,0,100000,7,gear_equally_spaced.xml
5563,2,0,100000,7,gear_equally_spaced.xml
5564,3,0,100000,7,gear_equally_spaced.xml
5565,4,0,100000,7,gear_equally_spaced.xml
5566,5,0,100000,7,gear_equally_spaced.xml
5567,1,1,100000,7,gear_equally_spaced.xml
5568,2,1,100000,7,gear_equally_spaced.xml
5569,3,1,100000,7,gear_equally_spaced.xml
5570,4,1,100000,7,gear_equally_spaced.xml
5571,5,1,100000,7,gear_equally_spaced.xml
5573,1,2,100000,7,gear_equally_spaced.xml
5574,2,2,100000,7,gear_equally_spaced.xml
5575,3,2,100000,7,gear_equally_spaced.xml
5576,4,2,100000,7,gear_equally_spaced.xml
5577,5,2,100000,7,gear_equally_spaced.xml
5578,1,4,100000,7,gear_equally_spaced.xml
5579,2,4,100000,7,gear_equally_spaced.xml
5580,3,4,100000,7,gear_equally_spaced.xml
5581,4,4,100000,7,gear_equally_spaced.xml
5582,5,4,100000,7,gear_equally_spaced.xml
5584,1,8,100000,7,gear_equally_spaced.xml
5585,2,8,100000,7,gear_equally_spaced.xml
5586,3,8,100000,7,gear_equally_spaced.xml
5587,3,8,100000,7,gear_equally_spaced.xml
5588,4,8,100000,7,gear_equally_spaced.xml
5589,5,8,100000,7,gear_equally_spaced.xml
5590,5,8,100000,7,gear_equally_spaced.xml
5593,1,0,100000,7,gear_large_distance.xml
5594,2,0,100000,7,gear_large_distance.xml
5595,3,0,100000,7,gear_large_distance.xml
5596,4,0,100000,7,gear_large_distance.xml
5597,5,0,100000,7,gear_large_distance.xml
