RunNumber,BeamEnergy,Threshold,GearGeoFile,SI0,SI1,SI2,SI3,SI4,SI5,kappaValue

114,6.0,3.0,gear_desy2012_20mm.xml,0.003256,0.003256,0.003256,0.003256,0.003256,0.003256,0.755000
115,6.0,4.0,gear_desy2012_20mm.xml,0.003254,0.003254,0.003254,0.003254,0.003254,0.003254,0.755000
116,6.0,5.0,gear_desy2012_20mm.xml,0.003222,0.003222,0.003222,0.003222,0.003222,0.003222,0.755000
117,6.0,6.0,gear_desy2012_20mm.xml,0.003240,0.003240,0.003240,0.003240,0.003240,0.003240,0.755000
118,6.0,7.0,gear_desy2012_20mm.xml,0.003364,0.003364,0.003364,0.003364,0.003364,0.003364,0.755000
119,6.0,8.0,gear_desy2012_20mm.xml,0.003549,0.003549,0.003549,0.003549,0.003549,0.003549,0.755000
120,6.0,9.0,gear_desy2012_20mm.xml,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.755000
121,6.0,10.0,gear_desy2012_20mm.xml,0.003873,0.003873,0.003873,0.003873,0.003873,0.003873,0.755000
122,6.0,11.0,gear_desy2012_20mm.xml,0.004012,0.004012,0.004012,0.004012,0.004012,0.004012,0.755000
123,6.0,12.0,gear_desy2012_20mm.xml,0.004074,0.004074,0.004074,0.004074,0.004074,0.004074,0.755000
124,5.0,3.0,gear_desy2012_20mm.xml,0.003270,0.003270,0.003270,0.003270,0.003270,0.003270,0.751000
125,5.0,4.0,gear_desy2012_20mm.xml,0.003278,0.003278,0.003278,0.003278,0.003278,0.003278,0.751000
126,5.0,5.0,gear_desy2012_20mm.xml,0.003238,0.003238,0.003238,0.003238,0.003238,0.003238,0.751000
127,5.0,6.0,gear_desy2012_20mm.xml,0.003265,0.003265,0.003265,0.003265,0.003265,0.003265,0.751000
128,5.0,7.0,gear_desy2012_20mm.xml,0.003355,0.003355,0.003355,0.003355,0.003355,0.003355,0.751000
129,5.0,8.0,gear_desy2012_20mm.xml,0.003545,0.003545,0.003545,0.003545,0.003545,0.003545,0.751000
130,5.0,9.0,gear_desy2012_20mm.xml,0.003737,0.003737,0.003737,0.003737,0.003737,0.003737,0.751000
131,5.0,10.0,gear_desy2012_20mm.xml,0.003883,0.003883,0.003883,0.003883,0.003883,0.003883,0.751000
