RunNumber,BeamEnergy,Threshold,GearGeoFile

33,2.0,3.0,gear_desy2012_20mm.xml
34,2.0,4.0,gear_desy2012_20mm.xml
35,2.0,5.0,gear_desy2012_20mm.xml
36,2.0,6.0,gear_desy2012_20mm.xml
37,2.0,7.0,gear_desy2012_20mm.xml
38,2.0,8.0,gear_desy2012_20mm.xml
39,2.0,9.0,gear_desy2012_20mm.xml
40,2.0,10.0,gear_desy2012_20mm.xml
41,2.0,11.0,gear_desy2012_20mm.xml
45,2.0,12.0,gear_desy2012_20mm.xml
46,3.0,3.0,gear_desy2012_20mm.xml
47,3.0,4.0,gear_desy2012_20mm.xml
48,3.0,5.0,gear_desy2012_20mm.xml
49,3.0,6.0,gear_desy2012_20mm.xml
50,3.0,7.0,gear_desy2012_20mm.xml
51,3.0,8.0,gear_desy2012_20mm.xml
52,3.0,9.0,gear_desy2012_20mm.xml
53,3.0,10.0,gear_desy2012_20mm.xml
54,3.0,11.0,gear_desy2012_20mm.xml
55,3.0,12.0,gear_desy2012_20mm.xml
58,5.0,3.0,gear_desy2012_20mm.xml
59,5.0,4.0,gear_desy2012_20mm.xml
61,5.0,5.0,gear_desy2012_20mm.xml
62,5.0,6.0,gear_desy2012_20mm.xml
63,5.0,7.0,gear_desy2012_20mm.xml
64,5.0,8.0,gear_desy2012_20mm.xml
65,5.0,9.0,gear_desy2012_20mm.xml
66,5.0,10.0,gear_desy2012_20mm.xml
67,5.0,11.0,gear_desy2012_20mm.xml
68,5.0,12.0,gear_desy2012_20mm.xml
