| RunNumber | BeamEnergy |
|        33 |          2 |
|        34 |          2 |
|        35 |          2 |
|        36 |          2 |
|        37 |          2 |
|        38 |          2 |
|        39 |          2 |
|        40 |          2 |
|        41 |          2 |
|        45 |          2 |
|        46 |          3 |
|        47 |          3 |
|        48 |          3 |
|        49 |          3 |
|        50 |          3 |
|        51 |          3 |
|        52 |          3 |
|        53 |          3 |
|        54 |          3 |
|        55 |          3 |
|        58 |          5 |
|        59 |          5 |
|        61 |          5 |
|        62 |          5 |
|        63 |          5 |
|        64 |          5 |
|        65 |          5 |
|        66 |          5 |
|        67 |          5 |
|        68 |          5 |

