RunNumber,BeamEnergy,Threshold,GearGeoFile

17,2.0,6.0,gear_desy2012_20mm.xml
33,2.0,3.0,gear_desy2012_20mm.xml
36,5.0,6.0,gear_desy2012_150mm.xml
37,5.0,6.0,gear_desy2012_150mm.xml
38,5.0,6.0,gear_desy2012_150mm.xml
39,5.0,12.0,gear_desy2012_150mm.xml
40,5.0,12.0,gear_desy2012_150mm.xml
41,5.0,12.0,gear_desy2012_150mm.xml
42,5.0,12.0,gear_desy2012_150mm.xml
43,5.0,12.0,gear_desy2012_150mm.xml
44,5.0,12.0,gear_desy2012_150mm.xml
45,5.0,12.0,gear_desy2012_150mm.xml
46,5.0,12.0,gear_desy2012_150mm.xml
47,5.0,12.0,gear_desy2012_150mm.xml
48,5.0,12.0,gear_desy2012_150mm.xml
49,5.0,12.0,gear_desy2012_150mm.xml
50,5.0,12.0,gear_desy2012_150mm.xml
51,5.0,12.0,gear_desy2012_150mm.xml
52,5.0,12.0,gear_desy2012_150mm.xml
53,5.0,12.0,gear_desy2012_150mm.xml
54,5.0,12.0,gear_desy2012_150mm.xml
55,5.0,12.0,gear_desy2012_150mm.xml
56,5.0,12.0,gear_desy2012_150mm.xml
57,5.0,12.0,gear_desy2012_150mm.xml
58,5.0,12.0,gear_desy2012_150mm.xml
59,5.0,12.0,gear_desy2012_150mm.xml
60,5.0,12.0,gear_desy2012_150mm.xml
61,5.0,12.0,gear_desy2012_150mm.xml
62,5.0,12.0,gear_desy2012_150mm.xml
63,5.0,12.0,gear_desy2012_150mm.xml
64,5.0,12.0,gear_desy2012_150mm.xml
65,5.0,12.0,gear_desy2012_150mm.xml
66,5.0,12.0,gear_desy2012_150mm.xml
67,5.0,11.0,gear_desy2012_150mm.xml
68,5.0,11.0,gear_desy2012_150mm.xml
69,5.0,11.0,gear_desy2012_150mm.xml
70,5.0,11.0,gear_desy2012_150mm.xml
71,5.0,10.0,gear_desy2012_150mm.xml
72,5.0,9.0,gear_desy2012_150mm.xml
73,5.0,9.0,gear_desy2012_150mm.xml
74,5.0,9.0,gear_desy2012_150mm.xml
75,5.0,8.0,gear_desy2012_150mm.xml
76,5.0,7.0,gear_desy2012_150mm.xml
77,5.0,5.0,gear_desy2012_150mm.xml
78,5.0,5.0,gear_desy2012_150mm.xml
79,5.0,5.0,gear_desy2012_150mm.xml
80,5.0,4.0,gear_desy2012_150mm.xml
81,5.0,4.0,gear_desy2012_150mm.xml
82,5.0,4.0,gear_desy2012_150mm.xml
83,5.0,4.0,gear_desy2012_150mm.xml
84,5.0,4.0,gear_desy2012_150mm.xml
85,5.0,3.0,gear_desy2012_150mm.xml
86,5.0,3.0,gear_desy2012_150mm.xml
87,4.4,12.0,gear_desy2012_150mm.xml
88,4.4,12.0,gear_desy2012_150mm.xml
